,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
210,hsa-mir-330_hsa-miR-330-3p,5.007990837,3.159976721,-1.848014116,5.91140928514445e-11,2.00878445152594e-10
211,hsa-mir-330_hsa-miR-330-5p,2.941217899,2.073111773,-0.868106126,8.39042405850446e-06,1.96132842641474e-05
212,hsa-mir-335_hsa-miR-335-3p,6.165336847,4.692474365,-1.472862482,5.78458947320756e-07,1.44417982086202e-06
213,hsa-mir-335_hsa-miR-335-5p,3.481114149,2.395901918,-1.085212231,0.000105283215400344,0.000223346474288591
214,hsa-mir-337_hsa-miR-337-3p,3.470522642,5.268669128,1.798146486,0.0110992783505354,0.0186001605235
216,hsa-mir-339_hsa-miR-339-3p,6.5709090235,4.280469418,-2.2904396055,4.43159856004405e-09,1.33311202584932e-08
217,hsa-mir-339_hsa-miR-339-5p,5.761791468,3.215463161,-2.546328307,7.65176999151469e-13,3.0195694482644e-12
220,hsa-mir-340_hsa-miR-340-5p,8.030986786,5.80103159,-2.229955196,1.96283707445161e-20,1.84708001621472e-19
227,hsa-mir-361_hsa-miR-361-5p,5.139998436,4.124903679,-1.015094757,2.93698107517705e-07,7.53756681531453e-07
228,hsa-mir-3613_hsa-miR-3613-5p,4.153666019,6.561179638,2.407513619,6.88816685056343e-15,3.19994586602124e-14
229,hsa-mir-3615_hsa-miR-3615,7.2242987155,5.99467802,-1.2296206955,1.99463749983893e-13,8.31854502773736e-13
230,hsa-mir-363_hsa-miR-363-3p,10.38682079,7.619465351,-2.767355439,1.94237274728977e-28,5.48346767888727e-27
233,hsa-mir-370_hsa-miR-370-3p,5.001842976,3.713680506,-1.28816247,0.000112010392344569,0.000236251804542855
234,hsa-mir-374a_hsa-miR-374a-3p,5.0835604665,3.251305819,-1.8322546475,2.23436808771884e-06,5.43055025293255e-06
235,hsa-mir-374a_hsa-miR-374a-5p,6.850759983,2.545684338,-4.305075645,3.96213080188934e-14,1.75193012565468e-13
241,hsa-mir-378a_hsa-miR-378a-3p,9.272790909,7.81107235,-1.461718559,4.27525753383893e-23,5.60364112471031e-22
242,hsa-mir-378c_hsa-miR-378c,5.608312607,2.1580173965,-3.4502952105,6.59311657847556e-19,5.26016040065333e-18
243,hsa-mir-378d-1_hsa-miR-378d,5.47809124,2.0294384955,-3.4486527445,7.94528603083206e-18,5.50173579870824e-17
244,hsa-mir-378d-2_hsa-miR-378d,5.47809124,2.1176269055,-3.3604643345,1.15199159290559e-18,8.80793572075732e-18
245,hsa-mir-378f_hsa-miR-378f,2.763175011,0.758817673,-2.004357338,1.84379831385427e-13,7.86830210679671e-13
248,hsa-mir-378i_hsa-miR-378i,5.952021122,3.612095833,-2.339925289,2.15969738476718e-13,8.80676600232839e-13
249,hsa-mir-379_hsa-miR-379-5p,5.3294820785,3.441610217,-1.8878718615,1.80185676595125e-06,4.40854288736073e-06
250,hsa-mir-381_hsa-miR-381-3p,5.256490707,2.724559188,-2.531931519,1.94329242434909e-17,1.29670603588385e-16
251,hsa-mir-382_hsa-miR-382-5p,6.550262928,5.703275681,-0.846987247,0.00113782904720043,0.0021524910325905
252,hsa-mir-3960_hsa-miR-3960,3.8949303625,2.2479587795,-1.646971583,0.00208684928761891,0.00381031685848826
253,hsa-mir-409_hsa-miR-409-3p,6.995362759,5.172428131,-1.822934628,1.00031694249735e-09,3.22031857803971e-09
258,hsa-mir-423_hsa-miR-423-3p,9.9746456145,8.951033592,-1.0236120225,3.20762246151731e-15,1.56959659116914e-14
259,hsa-mir-423_hsa-miR-423-5p,14.74274731,7.636440039,-7.106307271,2.68712889485428e-31,1.40882329201646e-29
265,hsa-mir-432_hsa-miR-432-5p,5.656244993,4.635770321,-1.020474672,0.00540542294402815,0.00931356911013301
268,hsa-mir-4433b_hsa-miR-4433b-3p,4.883816004,3.917696834,-0.96611917,0.00357656172488594,0.00640291781967385
